ID,A-coref,B-coref
development-1,True,False
development-2,True,False
development-3,False,True
development-4,False,True
development-5,False,True
development-6,True,False
development-7,False,False
development-8,False,True
development-9,False,True
development-10,True,False
development-11,False,True
development-12,True,False
development-13,True,False
development-14,True,False
development-15,True,False
development-16,False,False
development-17,True,False
development-18,False,False
development-19,False,True
development-20,False,True
development-21,False,True
development-22,True,False
development-23,True,False
development-24,False,True
development-25,True,False
development-26,False,True
development-27,False,True
development-28,True,False
development-29,False,False
development-30,True,False
development-31,False,True
development-32,False,False
development-33,False,True
development-34,False,False
development-35,True,False
development-36,True,False
development-37,False,True
development-38,False,True
development-39,True,False
development-40,True,False
development-41,False,True
development-42,True,False
development-43,False,True
development-44,False,True
development-45,False,True
development-46,False,False
development-47,False,False
development-48,False,True
development-49,True,False
development-50,False,False
development-51,False,True
development-52,False,True
development-53,False,True
development-54,False,True
development-55,False,True
development-56,False,False
development-57,False,True
development-58,True,False
development-59,True,False
development-60,True,False
development-61,False,True
development-62,True,False
development-63,False,True
development-64,False,True
development-65,False,True
development-66,False,True
development-67,True,False
development-68,False,False
development-69,False,True
development-70,True,False
development-71,False,True
development-72,True,False
development-73,False,True
development-74,True,False
development-75,False,True
development-76,True,False
development-77,False,True
development-78,False,True
development-79,False,False
development-80,False,True
development-81,False,False
development-82,True,False
development-83,False,True
development-84,False,True
development-85,True,False
development-86,True,False
development-87,True,False
development-88,True,False
development-89,False,False
development-90,True,False
development-91,False,True
development-92,False,True
development-93,False,False
development-94,True,False
development-95,True,False
development-96,True,False
development-97,False,True
development-98,False,False
development-99,True,False
development-100,False,False
development-101,True,False
development-102,False,False
development-103,False,True
development-104,True,False
development-105,True,False
development-106,True,False
development-107,True,False
development-108,False,True
development-109,True,False
development-110,False,True
development-111,True,False
development-112,True,False
development-113,False,False
development-114,False,True
development-115,False,False
development-116,False,True
development-117,True,False
development-118,True,False
development-119,False,True
development-120,True,False
development-121,False,True
development-122,False,False
development-123,False,False
development-124,True,False
development-125,False,True
development-126,False,True
development-127,False,True
development-128,False,True
development-129,True,False
development-130,True,False
development-131,False,True
development-132,True,False
development-133,True,False
development-134,False,True
development-135,False,True
development-136,True,False
development-137,True,False
development-138,False,True
development-139,True,False
development-140,False,True
development-141,True,False
development-142,False,False
development-143,True,False
development-144,False,True
development-145,True,False
development-146,True,False
development-147,False,True
